Table Name,Source File,File Type,Rows,Columns,Column Names,Sample Values,Column Formats,Staging Path
business_product_list,product_list.xlsx,xlsx,750,4,"product_id, product_name, product_type, price","{'product_id': 'PRODUCT16794', 'product_name': 'Grandmas swedish thin pancakes', 'product_type': 'readymade_breakfast', 'price': 12.81}","{'product_id': ['STRING'], 'product_name': ['STRING'], 'product_type': ['STRING'], 'price': ['NUMERIC_STRING']}",C:\Users\Aaron\shopzada-data-warehouse\data\staging\business_product_list.parquet
customer_user_credit_card,user_credit_card.pickle,pickle,5000,4,"user_id, name, credit_card_number, issuing_bank","{'user_id': 'USER40678', 'name': 'Zion Feest', 'credit_card_number': 4294956114, 'issuing_bank': 'bpi'}","{'user_id': ['USER_ID'], 'name': ['STRING'], 'credit_card_number': ['NUMERIC_STRING'], 'issuing_bank': ['STRING']}",C:\Users\Aaron\shopzada-data-warehouse\data\staging\customer_user_credit_card.parquet
customer_user_data,user_data.json,json,5000,11,"user_id, creation_date, name, street, state, city, country, birthdate, gender, device_address, user_type","{'user_id': 'USER40678', 'creation_date': '2021-03-17 22:56:13', 'name': 'Zion Feest', 'street': '14938 West Trace side', 'state': 'New Jersey', 'city': 'Birmingham', 'country': 'Hong Kong', 'birthdate': '1998-04-06 05:29:37', 'gender': 'male', 'device_address': '17:fb:f2:60:94:4b', 'user_type': 'basic'}","{'user_id': ['USER_ID'], 'creation_date': ['DATETIME'], 'name': ['STRING'], 'street': ['STRING'], 'state': ['STRING'], 'city': ['STRING'], 'country': ['STRING'], 'birthdate': ['DATETIME'], 'gender': ['STRING'], 'device_address': ['STRING'], 'user_type': ['STRING']}",C:\Users\Aaron\shopzada-data-warehouse\data\staging\customer_user_data.parquet
customer_user_job,user_job.csv,csv,5000,4,"user_id, name, job_title, job_level","{'user_id': 'USER40678', 'name': 'Zion Feest', 'job_title': 'Technician', 'job_level': 'Accounts'}","{'user_id': ['USER_ID'], 'name': ['STRING'], 'job_title': ['STRING'], 'job_level': ['STRING']}",C:\Users\Aaron\shopzada-data-warehouse\data\staging\customer_user_job.parquet
enterprise_merchant_data,merchant_data.html,html,5000,8,"merchant_id, creation_date, name, street, state, city, country, contact_number","{'merchant_id': 'MERCHANT53971', 'creation_date': '2022-06-28 11:42:04', 'name': 'Whitby Group', 'street': '813 North Isle bury', 'state': 'South Carolina', 'city': 'Boise', 'country': 'Brunei Darussalam', 'contact_number': '661.157.5528'}","{'merchant_id': ['STRING'], 'creation_date': ['DATETIME'], 'name': ['STRING'], 'street': ['STRING'], 'state': ['STRING'], 'city': ['STRING'], 'country': ['STRING'], 'contact_number': ['STRING']}",C:\Users\Aaron\shopzada-data-warehouse\data\staging\enterprise_merchant_data.parquet
enterprise_order_with_merchant_data1,order_with_merchant_data1.parquet,parquet,100000,3,"order_id, merchant_id, staff_id","{'order_id': 'eac330c0-457a-4faa-b15a-52a3c440e7f3', 'merchant_id': 'MERCHANT58557', 'staff_id': 'STAFF0027757'}","{'order_id': ['STRING'], 'merchant_id': ['STRING'], 'staff_id': ['STRING']}",C:\Users\Aaron\shopzada-data-warehouse\data\staging\enterprise_order_with_merchant_data1.parquet
enterprise_order_with_merchant_data2,order_with_merchant_data2.parquet,parquet,200000,3,"order_id, merchant_id, staff_id","{'order_id': '848f9cad-c4d3-4822-83e9-322ae73261c3', 'merchant_id': 'MERCHANT9789', 'staff_id': 'STAFF0020354'}","{'order_id': ['STRING'], 'merchant_id': ['STRING'], 'staff_id': ['STRING']}",C:\Users\Aaron\shopzada-data-warehouse\data\staging\enterprise_order_with_merchant_data2.parquet
enterprise_order_with_merchant_data3,order_with_merchant_data3.csv,csv,200000,3,"order_id, merchant_id, staff_id","{'order_id': 'e8bafe72-d506-4437-b357-f38682353238', 'merchant_id': 'MERCHANT13004', 'staff_id': 'STAFF0009879'}","{'order_id': ['STRING'], 'merchant_id': ['STRING'], 'staff_id': ['STRING']}",C:\Users\Aaron\shopzada-data-warehouse\data\staging\enterprise_order_with_merchant_data3.parquet
enterprise_staff_data,staff_data.html,html,5000,9,"staff_id, name, job_level, street, state, city, country, contact_number, creation_date","{'staff_id': 'STAFF0009650', 'name': 'Randall Bergstrom', 'job_level': 'intermediate', 'street': '376 Land chester', 'state': 'Texas', 'city': 'Omaha', 'country': 'Cook Islands', 'contact_number': '(138)548-8481', 'creation_date': '2020-09-04 02:33:28'}","{'staff_id': ['STRING'], 'name': ['STRING'], 'job_level': ['STRING'], 'street': ['STRING'], 'state': ['STRING'], 'city': ['STRING'], 'country': ['STRING'], 'contact_number': ['STRING'], 'creation_date': ['DATETIME']}",C:\Users\Aaron\shopzada-data-warehouse\data\staging\enterprise_staff_data.parquet
marketing_campaign_data,campaign_data.csv,csv,10,1,	campaign_id	campaign_name	campaign_description	discount,"{'\tcampaign_id\tcampaign_name\tcampaign_description\tdiscount': '0\tCAMPAIGN24776\twouldn\'t you know it\t""""""Twee retro vinyl single-origin coffee sartorial fanny pack brunch offal health."""" - Raleigh Senger""\t1%'}",{'\tcampaign_id\tcampaign_name\tcampaign_description\tdiscount': ['STRING']},C:\Users\Aaron\shopzada-data-warehouse\data\staging\marketing_campaign_data.parquet
