merchant_id,creation_date,name,street,state,city,country,contact_number
MERCHANT53971,2022-06-28 11:42:04,Whitby Group,813 North Isle bury,South Carolina,Boise,Brunei Darussalam,661.157.5528
MERCHANT56138,2020-08-27 20:35:19,YourMapper,54861 Springs view,Colorado,Cleveland,Sint Maarten (Dutch part),(046)415-8092
MERCHANT31852,2021-08-05 12:04:33,United Mayflower,730 East Islands side,Virginia,Atlanta,Mali,939.273.0312
MERCHANT63299,2021-08-15 19:00:03,TransparaGov,2619 Coves haven,Maine,Indianapolis,Chad,1-181-438-5899
MERCHANT16722,2023-02-28 20:35:34,Maponics,979 North Rue borough,Wyoming,Boise,Guatemala,494-319-8223
MERCHANT49062,2023-06-03 01:52:57,Propeller Health,4697 Port Circle port,Vermont,Memphis,Tunisia,851-165-0684
MERCHANT58580,2020-05-07 04:58:04,Rivet Software,738 New Place view,Michigan,San Francisco,Sint Maarten (Dutch part),669-684-8313
MERCHANT64273,2021-01-10 12:43:28,Intelius,6381 Greens view,Minnesota,Memphis,Brazil,110.391.5904
MERCHANT7177,2021-04-28 08:16:21,SAP,49636 New Views chester,New York,Mesa,Botswana,796.962.6838
MERCHANT53625,2021-04-07 05:27:53,"Ontodia, Inc",44956 Trail berg,North Dakota,San Bernardino,Senegal,849-517-8144
