order_id,user_id,estimated arrival,transaction_date
0248bb48-d0d0-4a11-a158-f620640a757a,USER16283,13days,2020-06-04
14473b59-6c4f-429e-89ef-ce920b209df3,USER08179,8days,2020-04-07
62b8fabf-4e0a-4383-8b3a-7276c77f9e8c,USER55688,10days,2020-05-07
96a01cee-071d-4e10-a9e4-56a31b82a9d5,USER34967,8days,2020-06-05
479b1a6c-3a76-41a7-b15d-71acd4045080,USER07130,15days,2020-05-24
579acffb-9fbf-4d5d-be56-19bb793c7e99,USER45764,4days,2020-03-16
1b663b9f-deae-4554-b713-4a3655a4a1e0,USER05848,7days,2020-04-22
c218f18b-d8a6-4125-a408-d05a15b95e92,USER54942,5days,2020-02-20
3d70b1a6-aa00-4ccc-baf0-3f47822cd5af,USER15563,13days,2020-06-16
f52f02bd-1e63-4ae4-82d4-22d6b2ad3f6e,USER54512,15days,2020-02-10
